persona_id,age_group,gender,education,region,occupation,variable,response,response_raw,response_parsed,response_used_default,response_error,response_attempts
P001,20대,남성,고졸 이하,영남권,서비스직,SATFIN,4,4,4,False,,1
P002,20대,남성,대학원 이상,수도권,전문직,SATFIN,2,2,2,False,,1
P003,20대,남성,대졸,수도권,전문직,SATFIN,2,2,2,False,,1
P004,20대,남성,대졸,영남권,학생,SATFIN,4,4,4,False,,1
P005,20대,남성,대졸,호남권,학생,SATFIN,4,4,4,False,,1
P006,20대,남성,대졸,충청/강원,전문직,SATFIN,2,2,2,False,,1
P007,20대,남성,고졸 이하,호남권,서비스직,SATFIN,4,4,4,False,,1
P008,20대,남성,대졸,수도권,학생,SATFIN,3,3,3,False,,1
P009,20대,남성,대졸,수도권,전문직,SATFIN,3,3,3,False,,1
P010,20대,여성,대졸,영남권,학생,SATFIN,3,3,3,False,,1
P011,20대,여성,고졸 이하,수도권,단순노무,SATFIN,4,4,4,False,,1
P012,20대,여성,고졸 이하,충청/강원,서비스직,SATFIN,4,4,4,False,,1
P013,20대,여성,대졸,호남권,학생,SATFIN,4,4,4,False,,1
P014,20대,여성,대졸,충청/강원,학생,SATFIN,3,3,3,False,,1
P015,20대,여성,대졸,영남권,사무직,SATFIN,3,3,3,False,,1
P016,20대,여성,고졸 이하,영남권,단순노무,SATFIN,4,4,4,False,,1
P017,20대,여성,대졸,수도권,학생,SATFIN,3,3,3,False,,1
P018,30대,남성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P019,30대,남성,대졸,호남권,사무직,SATFIN,3,3,3,False,,1
P020,30대,남성,대졸,수도권,전문직,SATFIN,2,2,2,False,,1
P021,30대,남성,고졸 이하,영남권,서비스직,SATFIN,4,4,4,False,,1
P022,30대,남성,대졸,수도권,전문직,SATFIN,2,2,2,False,,1
P023,30대,남성,대학원 이상,영남권,전문직,SATFIN,2,2,2,False,,1
P024,30대,남성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P025,30대,남성,대졸,영남권,전문직,SATFIN,2,2,2,False,,1
P026,30대,여성,대졸,영남권,관리직,SATFIN,2,2,2,False,,1
P027,30대,여성,고졸 이하,영남권,자영업,SATFIN,4,4,4,False,,1
P028,30대,여성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P029,30대,여성,대학원 이상,충청/강원,전문직,SATFIN,2,2,2,False,,1
P030,30대,여성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P031,30대,여성,고졸 이하,영남권,자영업,SATFIN,4,4,4,False,,1
P032,30대,여성,대학원 이상,영남권,연구직,SATFIN,2,2,2,False,,1
P033,30대,여성,대졸,수도권,전문직,SATFIN,3,3,3,False,,1
P034,40대,남성,고졸 이하,영남권,서비스직,SATFIN,4,4,4,False,,1
P035,40대,남성,대졸,영남권,전문직,SATFIN,2,2,2,False,,1
P036,40대,남성,대졸,영남권,사무직,SATFIN,3,3,3,False,,1
P037,40대,남성,대학원 이상,수도권,관리직,SATFIN,2,2,2,False,,1
P038,40대,남성,고졸 이하,영남권,자영업,SATFIN,4,4,4,False,,1
P039,40대,남성,대졸,충청/강원,전문직,SATFIN,3,3,3,False,,1
P040,40대,남성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P041,40대,남성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P042,40대,남성,대졸,수도권,관리직,SATFIN,2,2,2,False,,1
P043,40대,여성,대졸,수도권,관리직,SATFIN,2,2,2,False,,1
P044,40대,여성,고졸 이하,호남권,서비스직,SATFIN,4,4,4,False,,1
P045,40대,여성,대졸,영남권,전문직,SATFIN,3,3,3,False,,1
P046,40대,여성,대학원 이상,영남권,관리직,SATFIN,2,2,2,False,,1
P047,40대,여성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P048,40대,여성,고졸 이하,수도권,서비스직,SATFIN,4,4,4,False,,1
P049,40대,여성,고졸 이하,영남권,기능직,SATFIN,4,4,4,False,,1
P050,40대,여성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P051,40대,여성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P052,50대,남성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P053,50대,남성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P054,50대,남성,고졸 이하,수도권,기능직,SATFIN,4,4,4,False,,1
P055,50대,남성,대학원 이상,호남권,전문직,SATFIN,2,2,2,False,,1
P056,50대,남성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P057,50대,남성,고졸 이하,영남권,농업/어업,SATFIN,4,4,4,False,,1
P058,50대,남성,대학원 이상,수도권,연구직,SATFIN,2,2,2,False,,1
P059,50대,남성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P060,50대,남성,대학원 이상,수도권,연구직,SATFIN,2,2,2,False,,1
P061,50대,남성,대졸,호남권,자영업,SATFIN,4,4,4,False,,1
P062,50대,여성,대졸,수도권,자영업,SATFIN,4,4,4,False,,1
P063,50대,여성,고졸 이하,영남권,기능직,SATFIN,4,4,4,False,,1
P064,50대,여성,대졸,호남권,자영업,SATFIN,4,4,4,False,,1
P065,50대,여성,대졸,영남권,자영업,SATFIN,4,4,4,False,,1
P066,50대,여성,대졸,충청/강원,자영업,SATFIN,4,4,4,False,,1
P067,50대,여성,고졸 이하,충청/강원,기능직,SATFIN,4,4,4,False,,1
P068,50대,여성,대졸,호남권,관리직,SATFIN,2,2,2,False,,1
P069,50대,여성,고졸 이하,수도권,농업/어업,SATFIN,4,4,4,False,,1
P070,50대,여성,대졸,수도권,사무직,SATFIN,3,3,3,False,,1
P071,50대,여성,대졸,수도권,관리직,SATFIN,2,2,2,False,,1
P072,60대 이상,남성,고졸 이하,수도권,농업/어업,SATFIN,4,4,4,False,,1
P073,60대 이상,남성,고졸 이하,호남권,자영업,SATFIN,4,4,4,False,,1
P074,60대 이상,남성,대학원 이상,수도권,은퇴,SATFIN,2,2,2,False,,1
P075,60대 이상,남성,고졸 이하,수도권,농업/어업,SATFIN,4,4,4,False,,1
P076,60대 이상,남성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P077,60대 이상,남성,고졸 이하,영남권,은퇴,SATFIN,4,4,4,False,,1
P078,60대 이상,남성,고졸 이하,수도권,은퇴,SATFIN,4,4,4,False,,1
P079,60대 이상,남성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P080,60대 이상,남성,고졸 이하,영남권,은퇴,SATFIN,4,4,4,False,,1
P081,60대 이상,남성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P082,60대 이상,남성,고졸 이하,수도권,은퇴,SATFIN,4,4,4,False,,1
P083,60대 이상,남성,대졸,영남권,은퇴,SATFIN,3,3,3,False,,1
P084,60대 이상,남성,고졸 이하,수도권,자영업,SATFIN,4,4,4,False,,1
P085,60대 이상,남성,대졸,수도권,은퇴,SATFIN,2,2,2,False,,1
P086,60대 이상,여성,고졸 이하,영남권,은퇴,SATFIN,4,4,4,False,,1
P087,60대 이상,여성,고졸 이하,수도권,농업/어업,SATFIN,4,4,4,False,,1
P088,60대 이상,여성,고졸 이하,영남권,은퇴,SATFIN,4,4,4,False,,1
